,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
99,django-oscar-paypal,django-oscar/django-oscar-paypal,django-oscar-paypal,[],payment-subscriptions,https://github.com/django-oscar/django-oscar-paypal,https://github.com/django-oscar/django-oscar-paypal,2012-03-23 16:51:01,2023-11-01 11:25:26,2023-09-01 09:54:25,540.0,,195.0,33.0,203.0,22.0,69.0,161,,,,PayPal integration for django-oscar. Can be used without Oscar too.,154.0,154.0,51.0,https://pypi.org/project/django-oscar-paypal,413.0,413.0,20,True,2,BSD-3-Clause,,,,,
100,shynet,milesmcc/shynet,shynet,[],analytics-framework,https://github.com/milesmcc/shynet,https://github.com/milesmcc/shynet,2020-04-09 17:51:58,2024-01-29 23:50:25,2024-01-08 16:05:53,510.0,3.0,166.0,29.0,130.0,45.0,134.0,2705,2023-07-28 03:19:15,0.13.1,37.0,"Modern, privacy-friendly, and detailed web analytics that works without cookies or JS.",,,35.0,https://pypi.org/project/shynet,,,19,True,1,Apache-2.0,,,,,
101,django-controlcenter,byashimov/django-controlcenter,django-controlcenter,[],admin-interface,https://github.com/byashimov/django-controlcenter,https://github.com/byashimov/django-controlcenter,2016-03-01 15:35:59,2023-08-06 17:01:12,2023-08-06 17:00:07,200.0,,85.0,46.0,36.0,10.0,24.0,979,,,,Set of widgets to build dashboards for Django projects.,83.0,83.0,18.0,https://pypi.org/project/django-controlcenter,5391.0,5391.0,19,True,3,BSD-3-Clause,,,,,
102,django-admin-sortable,jazzband/django-admin-sortable,django-admin-sortable,[],admin-interface-actions,https://github.com/jazzband/django-admin-sortable,https://github.com/jazzband/django-admin-sortable,2011-08-31 19:31:13,2023-04-21 08:57:53,2022-03-13 00:03:22,621.0,,132.0,17.0,121.0,10.0,132.0,556,,,,Generic drag-and-drop ordering for objects and tabular inlines in Django Admin.,671.0,671.0,80.0,https://pypi.org/project/django-admin-sortable,52936.0,52936.0,19,True,3,,,,,,
103,django-fixture-magic,davedash/django-fixture-magic,django-fixture-magic,[],example-data,https://github.com/davedash/django-fixture-magic,https://github.com/davedash/django-fixture-magic,2010-03-05 00:50:02,2023-10-26 14:29:00,2023-10-26 14:28:50,128.0,,90.0,8.0,56.0,12.0,23.0,382,,,,Utilities to extract and manipulate Django Fixtures.,150.0,150.0,36.0,https://pypi.org/project/django-fixture-magic,32689.0,32689.0,19,True,3,BSD-3-Clause,,,,,
104,django-data-browser,tolomea/django-data-browser,django-data-browser,[],data-exploration,https://github.com/tolomea/django-data-browser,https://github.com/tolomea/django-data-browser,2020-03-29 21:02:52,2024-01-09 20:16:20,2023-11-16 12:26:19,1102.0,4.0,23.0,10.0,37.0,4.0,31.0,280,,,,Django app for user friendly querying of Django models.,18.0,18.0,10.0,https://pypi.org/project/django-data-browser,1944.0,1944.0,19,True,1,BSD-3-Clause,,,,,
105,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,16.0,7.0,22.0,9.0,9.0,231,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,270.0,270.0,11.0,https://pypi.org/project/django-click,32433.0,32433.0,19,True,3,MIT,,,,,
106,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,2015-05-25 18:10:29,2023-09-19 14:33:58,2019-05-10 16:41:45,129.0,,61.0,6.0,21.0,9.0,7.0,191,,,,Fernet symmetric encryption for Django model fields.,667.0,667.0,9.0,https://pypi.org/project/django-fernet-fields,62446.0,62446.0,19,True,1,BSD-3-Clause,,,,,
107,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,2017-11-12 15:46:45,2023-07-06 17:36:27,2023-07-06 17:36:25,255.0,,39.0,12.0,77.0,2.0,38.0,176,2022-04-20 19:29:39,1.0.1,15.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,11.0,11.0,28.0,https://pypi.org/project/django-loci,387.0,387.0,19,True,3,BSD-3-Clause,,,,,
108,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,2019-06-26 09:38:13,2022-08-26 07:34:52,2022-04-07 16:47:43,200.0,,22.0,4.0,12.0,2.0,22.0,65,2022-03-01 22:09:58,2.0.0,22.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",320.0,320.0,8.0,https://pypi.org/project/django-mapbox-location-field,880.0,880.0,19,True,3,MIT,,,,,
109,merchant,agiliq/merchant,merchant,[],payment-subscriptions,https://github.com/agiliq/merchant,https://github.com/agiliq/merchant,2010-09-29 11:30:58,2022-07-08 19:12:50,2015-07-08 05:29:26,684.0,,161.0,59.0,86.0,23.0,42.0,1020,,,4.0,A Django app to accept payments from various payment processors via Pluggable backends.,28.0,28.0,49.0,https://pypi.org/project/merchant,,,18,False,2,BSD-3-Clause,,,,,
110,django-dirtyfields,romgar/django-dirtyfields,django-dirtyfields,[],fields-versioning,https://github.com/romgar/django-dirtyfields,https://github.com/romgar/django-dirtyfields,2010-09-09 06:54:09,2024-01-11 21:37:28,2023-12-10 12:55:12,609.0,1.0,97.0,13.0,150.0,11.0,59.0,605,,,,Tracking dirty fields on a Django model.,,,41.0,https://pypi.org/project/django-dirtyfields,159677.0,159677.0,18,True,3,BSD-3-Clause,,,,,
