,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
147,eventsourcing-django,pyeventsourcing/eventsourcing-django,eventsourcing-django,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-django,https://github.com/pyeventsourcing/eventsourcing-django,BSD-3-Clause,2021-07-15 13:39:46,2023-04-21 22:50:00,2023-03-16 17:14:44,142.0,,8.0,4.0,16.0,2.0,2.0,37,,,,Python package for eventsourcing with Django.,6.0,6.0,5.0,https://pypi.org/project/eventsourcing-django,2282.0,2282.0,11,True,2,,,,,,
148,django-encrypted-model-fields,,django-encrypted-model-fields,[],encrpyted-fields,,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields,,2018-06-05 14:35:48,2018-06-05 14:35:48,,,,25.0,,,6.0,20.0,33,,,4.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,,,,https://pypi.org/project/django-encrypted-model-fields,108782.0,108782.0,11,False,3,,,,,lansharkconsulting/django/django-encrypted-model-fields,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields
149,django-oauth-login,dropseed/django-oauth-login,django-oauth-login,[],authentication-authorization,https://github.com/dropseed/django-oauth-login,https://github.com/dropseed/django-oauth-login,MIT,2022-03-17 20:18:15,2024-04-01 00:22:57,2023-08-04 16:10:50,41.0,,3.0,4.0,22.0,1.0,2.0,16,2023-08-04 16:11:25,0.2.4,7.0,A minimal app that adds OAuth login support to your Django project.,3.0,3.0,5.0,https://pypi.org/project/django-oauth-login,125.0,125.0,11,False,3,,,,,,
150,django-oauth2-authcodeflow,jrd/django-oauth2-authcodeflow,django-oauth2-authcodeflow,[],authentication-authorization,https://github.com/jrd/django-oauth2-authcodeflow,https://github.com/jrd/django-oauth2-authcodeflow,MIT,2020-11-27 10:40:53,2024-04-19 09:33:08,2023-12-12 15:17:35,92.0,,7.0,3.0,16.0,5.0,2.0,14,,,,Authenticate with any OpenId Connect/Oauth2 provider through authorization code flow. PKCE is also supported.,9.0,9.0,10.0,https://pypi.org/project/django-oauth2-authcodeflow,1865.0,1865.0,11,False,3,,,,,,
151,django-ninja-passwordreset,eadwinCode/django-ninja-passwordreset,django-ninja-passwordreset,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-passwordreset,https://github.com/eadwinCode/django-ninja-passwordreset,BSD-3-Clause,2021-11-20 21:37:41,2023-11-30 10:22:37,2023-11-30 10:21:07,167.0,,1.0,1.0,3.0,,,5,2023-11-30 10:22:37,1.2.5,3.0,"An extension of django rest framework, providing a configurable password reset strategy.",,,34.0,https://pypi.org/project/django-ninja-passwordreset,182.0,182.0,11,False,3,,,,,,
152,djangorestframework-fsm,27medkamal/djangorestframework-fsm,djangorestframework-fsm,[],finite-state-machine,https://github.com/27medkamal/djangorestframework-fsm,https://github.com/27medkamal/djangorestframework-fsm,MIT,2018-10-25 23:32:47,2022-05-30 14:49:47,2021-01-22 05:03:20,26.0,,8.0,4.0,3.0,,3.0,18,,,,Automatically hook your Django-FSM transitions up to Django REST Framework.,4.0,4.0,7.0,https://pypi.org/project/djangorestframework-fsm,274.0,274.0,10,False,3,,,,,,
153,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,MIT,2021-06-11 15:38:15,2024-04-15 23:18:26,2024-01-03 16:18:35,110.0,,2.0,1.0,133.0,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3.0,https://pypi.org/project/django-fsm-freeze,482.0,482.0,10,False,3,,,,,,
154,django-subscription,zhaque/django-subscription,django-subscription,[],payment-subscriptions,https://github.com/zhaque/django-subscription,https://github.com/zhaque/django-subscription,,2009-05-25 10:52:48,2020-09-24 17:57:10,2013-05-02 23:27:40,62.0,,48.0,4.0,6.0,2.0,3.0,180,,,,Subscriptions or Recurring Billing App for django.,,,11.0,https://pypi.org/project/django-subscription,27.0,27.0,9,False,3,,,,,,
155,cookiecutter-django-crud,wildfish/cookiecutter-django-crud,cookiecutter-django-crud,[],reusable-app-templates,https://github.com/wildfish/cookiecutter-django-crud,https://github.com/wildfish/cookiecutter-django-crud,BSD-3-Clause,2013-09-20 17:11:23,2015-12-10 16:38:04,2015-12-10 16:37:59,51.0,,32.0,7.0,6.0,,3.0,67,,,,"A cookiecutter template to create a Django app around a model with CRUD views using django-vanilla-views, a..",,,4.0,https://pypi.org/project/cookiecutter-django-crud,,,9,False,2,,,,,,
156,django-discord-integration,Ninjaclasher/django-discord-integration,django-discord-integration,[],messaging,https://github.com/Ninjaclasher/django-discord-integration,https://github.com/Ninjaclasher/django-discord-integration,AGPL-3.0,2019-05-12 19:51:58,2023-04-08 02:13:10,2023-04-08 02:12:54,42.0,,1.0,3.0,1.0,,2.0,22,2023-01-04 23:09:31,1.2.5,3.0,"Discord integration for Django, supporting error reporting via webhooks.",5.0,5.0,2.0,https://pypi.org/project/django-discord-integration,1071.0,1071.0,9,True,3,,,,,,
